@context,@type,name,description,image,url
https://schema.org,Thing,Santiago R Santos | #9159,I like crypto & Harry Potter | Sometimes write https://t.co/HzSSlGmmwm | Tweets not investment advice,https://pbs.twimg.com/profile_images/1492672526656446467/uH5PD24j_400x400.jpg,https://x.com/santiagoroel
https://schema.org,Thing,0xDesigner,provocateur,https://pbs.twimg.com/profile_images/1762652874213834752/ohOpuC2T_400x400.jpg,https://x.com/0xDesigner
https://schema.org,Thing,"vitalik.eth

","mi pinxe lo crino tcati
",https://pbs.twimg.com/profile_images/1748153260203229184/sXJIGMBk_400x400.jpg,https://x.com/VitalikButerin
https://schema.org,Thing,"DavidHoffman.eth","Optimistic storyteller of frontier technology. The chaotic side of ",https://pbs.twimg.com/profile_images/1697800170820521984/UVpmEpTk_400x400.jpg,https://x.com/TrustlessState
https://schema.org,Thing,"RYAN SΞAN ADAMS - rsa.eth ","Crypto investor going bankless. 🏴
",https://pbs.twimg.com/profile_images/1766150845614145536/NPX7ozxG_400x400.jpg,https://x.com/RyanSAdams
https://schema.org,Thing,6529,"http://6529.io/, http://seize.io/, http://oncyber.io/https://t.co/0EOOwrBnNN, http://discord.gg/join-om, https://t.co/Id0QtW0yE9",https://pbs.twimg.com/profile_images/1784231403325943808/PBDWE07Y_400x400.jpg,https://x.com/punk6529
https://schema.org,Thing,Messari,Messari is the leading provider of crypto market intelligence products that help professionals navigate crypto with confidence.,https://pbs.twimg.com/profile_images/1706771641932419072/HA20H-rN_400x400.jpg,https://x.com/MessariCrypto
https://schema.org,Thing,joseph.eth,"Contributor https://x.com/Untitled, CTO https://x.com/AstariaXYZ, Former CTO https://t.co/joGhjflDCs, Former https://x.com/ethereum Core Dev https://x.com/ConsenSys",https://pbs.twimg.com/profile_images/1753936014786052096/6g3fdSYd_400x400.jpg,https://x.com/josephdelong
https://schema.org,Thing,MetaCartel,"Supporting early web3 product teams with grants funding.
""If you want to go quick, go alone. If you want to go far, go together.”",https://pbs.twimg.com/profile_images/1156297966233067521/Rt2YFQgt_400x400.jpg,https://x.com/Meta_Cartel
https://schema.org,Thing,gmoney.9dcc.e τh,https://x.com/admit0001  https://x.com/9dccxyz futurist. disruptor. founder.,https://pbs.twimg.com/profile_images/1626216945698881541/kF6xM_Cb_400x400.jpg,https://x.com/gmoneyNFT
https://schema.org,Thing,cobie ) ) ) ),"@echodotxyz
",https://pbs.twimg.com/profile_images/1809736754364313601/dv49P3FP_400x400.jpg,https://x.com/cobie
https://schema.org,Thing,tuba,"CEO of Psyops Capital • crypto engineer, builder",https://pbs.twimg.com/profile_images/1487448440699502594/8_Svnaiv_400x400.jpg,https://x.com/0xtuba
https://schema.org,Thing,evin,https://x.com/discoxyz data backpacks for all https://x.com/therealdaojones https://x.com/boysclubworld https://x.com/ink_dao,https://pbs.twimg.com/profile_images/1478169744977051648/tJXCkxYl_400x400.jpg,https://x.com/provenauthority
https://schema.org,Thing,scoopy trooples,"https://x.com/AlchemixFi https://x.com/egirl_capital 錬金術師 my tweets are my own ꙮꙮ   —not doing angel investments, don’t ask —",https://pbs.twimg.com/profile_images/1801156001351233536/m-hOir2A_400x400.jpg,https://x.com/scupytrooples
https://schema.org,Thing,Cole,trench gladiator // ex https://x.com/pudgypenguins // all tweets are sarcasm or theatrics and not financial advice,https://pbs.twimg.com/profile_images/1599482785827356674/I-dWS9W-_400x400.jpg,https://x.com/ColeThereum
https://schema.org,Thing,DCinvestor,"indy investor & fan of crypto, ethereum, NFTs, AI, AR/VR. posts not expert opinions or advice. https://t.co/Aq5wHkGfEK + https://t.co/8RngRZ3Q3v",https://pbs.twimg.com/profile_images/1548726894417305601/Ko19bO_Q_400x400.png,https://x.com/iamDCinvestor
https://schema.org,Thing,Stani,https://x.com/Avara (https://x.com/Aave https://x.com/LensProtocol https://x.com/Family),https://pbs.twimg.com/profile_images/1799112670651527168/Tcn1kmpU_400x400.jpg,https://x.com/StaniKulechov
https://schema.org,Thing,Jesse Pollack,"https://x.com/base builder #001
https://x.com/oakcurrency with https://x.com/0xcity3",https://pbs.twimg.com/profile_images/1484575656759472128/4vLR6_4F_400x400.png,https://x.com/jessepollak
https://schema.org,Thing,Jeremy Allaire,"Co-founder & CEO of Circle 
@circle
 Open internet platforms, crypto, bitcoin, globalism, human and civil rights. $USDC",https://pbs.twimg.com/profile_images/1501707897641779208/cpB2Dk9__400x400.jpg,https://x.com/jerallaire
https://schema.org,Thing,"Hayden Adams ","Inventor of the Uniswap protocol, CEO https://x.com/Uniswap Labs",https://pbs.twimg.com/profile_images/1600270205149761555/aIQ_R6PJ_400x400.jpg,https://x.com/haydenzadams
https://schema.org,Thing,samczsun,"research https://x.com/paradigm, founder https://x.com/_SEAL_Org. art by https://x.com/Keiseeaaa/https://x.com/vincywp",https://pbs.twimg.com/profile_images/1629980586378141696/3onkhqws_400x400.jpg,https://x.com/samczsun
https://schema.org,Thing,Pranksy,Ambassador and collector of Web3 & https://x.com/search?q=%23NFTs&src=hashtag_click since December 2017.,https://pbs.twimg.com/profile_images/1762502130689019904/MQPDfpNA_400x400.jpg,https://x.com/pranksy
https://schema.org,Thing,"J O H N P A L L Ξ R | pallΞr.Ξth (,)",founder/steward https://x.com/opolis https://x.com/ethereumdenver https://x.com/SporkDAO https://x.com/BufficornV | egalitarian libertarian | https://x.com/search?q=%23bufficornBUIDLbrigade&src=hashtag_click https://x.com/search?q=%24SPORK&src=cashtag_click https://x.com/search?q=%24WORK&src=cashtag_click | https://x.com/search?q=%23INFJ&src=hashtag_click-A,https://pbs.twimg.com/profile_images/1456261009643954206/hfjxKjH2_400x400.png,https://x.com/PallerJohn
https://schema.org,Thing,Dan Morehead,"Founder, Managing Partner 
@PanteraCapital
 – the first investment firm in the U.S. to launch digital currency, early-stage token, and blockchain venture funds.",https://pbs.twimg.com/profile_images/880104235286749185/9Cwko61d_400x400.jpg,https://x.com/dan_pantera
https://schema.org,Thing,Joseph Lubin,Co-founder of https://x.com/ethereum | Founder of https://x.com/Consensys | Chairman of https://x.com/ConsensysMesh. Building the decentralized Web3 on https://x.com/search?q=%23Ethereum&src=hashtag_click.,https://pbs.twimg.com/profile_images/968150222760132608/Dzi20Mri_400x400.jpg,https://x.com/ethereumJoseph
https://schema.org,Thing,Hudson Jameson,"I enjoy my cats, privacy tech, & ice cream.

Now: VP @ Polygon Labs, https://x.com/_SEAL_Org member
Previous: Ethereum Foundation, Flashbots, USAA, Zcash",https://pbs.twimg.com/profile_images/1755127289891741696/9xR49-3L_400x400.jpg,https://x.com/hudsonjameson
https://schema.org,Thing,"wishful cynic

","libertarian in doubt, missed buying bitcoin at $1, Westham, butlerian crusader, d&d  &wh40k aficionado, founder and CEO 
@wintermute_t
 occasionally adversarial",https://pbs.twimg.com/profile_images/1561557386799636480/bdewA1q2_400x400.jpg,https://x.com/evgenygaevoy
https://schema.org,Thing,humpty,noun 558 | chief conspirator https://x.com/cryptosapiens_ | data https://x.com/mosaicfun https://x.com/ontologynetwork,https://pbs.twimg.com/profile_images/1818876386050002944/1yXopH5l_400x400.jpg,https://x.com/thedatadood
https://schema.org,Thing,Evan,"Study, lessons in there / NOT INVESTMENT ADVICE Grass toucher, Hedgoooor Unbothered, objective There is no need to be upset. Very serious account",https://pbs.twimg.com/profile_images/1544887512455188480/NTlA57Iu_400x400.jpg,https://x.com/Evan_ss6
https://schema.org,Thing,CK,"Reimagining AI x Crypto 
@TensorplexLabs
 Prev. 
@BHDigitalAssets
 
@DeFianceCapital
 and 
@GoldmanSachs
 All personal opinion, not financial advice ",https://pbs.twimg.com/profile_images/1820703432849965056/sOe12oCX_400x400.jpg,https://x.com/overlyleveraged
https://schema.org,Thing,The Giver,"Megafund investor & fmr IBD (DMs open)│ Ex-Maplestory market maker│ Modelled $ETH, $LUNA & $WAVES unwind│ Non-consensus / value cross-assets",https://pbs.twimg.com/profile_images/1811174294061498368/c241IInu_400x400.jpg,https://x.com/lazyvillager1
https://schema.org,Thing,https://x.com/MetaLawMan,UVa | Vanderbilt Law. Your guide to other worlds: Crypto l Metaverse | Web3. Not legal or financial advice. I am A lawyer--just not YOUR lawyer.,https://pbs.twimg.com/profile_images/1575828715896012800/L8EH1hMf_400x400.jpg,https://x.com/MetaLawMan
